Frekvenca [Hz] - Palica 1	Amplituda frekv. prenosne funkcije [dB] - Palica 1	Frekvenca [Hz] - Palica 2	Amplituda frekv. prenosne funkcije [dB] - Palica 2	Frekvenca [Hz] - Palica 3	Amplituda frekv. prenosne funkcije [dB] - Palica 3	
10	-39,9288	10	-39,81	10	-39,8163	
10,1	-39,6629	10,1	-39,6432	10,1	-39,7225	
10,2	-39,4738	10,2	-39,3723	10,2	-39,3604	
10,3	-39,2733	10,3	-39,1393	10,3	-39,0206	
10,4	-38,8587	10,4	-38,6876	10,4	-38,5967	
10,5	-38,482	10,5	-38,2194	10,5	-38,1639	
10,6	-37,9659	10,6	-37,856	10,6	-37,6891	
10,7	-37,614	10,7	-37,5976	10,7	-37,3569	
10,8	-37,3973	10,8	-37,2455	10,8	-37,0889	
10,9	-37,2677	10,9	-36,9801	10,9	-36,884	
11	-37,0575	11	-36,7029	11	-36,6151	
11,1	-36,6234	11,1	-36,1717	11,1	-36,281	
11,2	-36,3315	11,2	-35,8127	11,2	-35,9209	
11,3	-36,1709	11,3	-35,5392	11,3	-35,6019	
11,4	-35,8087	11,4	-35,0656	11,4	-35,1763	
11,5	-35,6751	11,5	-34,9272	11,5	-35,0083	
11,6	-35,4851	11,6	-34,8205	11,6	-34,7785	
11,7	-35,0468	11,7	-34,2808	11,7	-34,0275	
11,8	-34,7737	11,8	-33,8737	11,8	-33,2627	
11,9	-34,4856	11,9	-33,7471	11,9	-32,8295	
12	-34,2242	12	-33,4598	12	-32,5167	
12,1	-34,1044	12,1	-33,2844	12,1	-32,3105	
12,2	-33,8411	12,2	-32,9462	12,2	-32,0749	
12,3	-33,6262	12,3	-32,681	12,3	-31,8279	
12,4	-33,2336	12,4	-32,2232	12,4	-31,3934	
12,5	-32,8334	12,5	-31,7684	12,5	-30,9195	
12,6	-32,7208	12,6	-31,6275	12,6	-30,7897	
12,7	-32,518	12,7	-31,3846	12,7	-30,584	
12,8	-32,4901	12,8	-31,3525	12,8	-30,6778	
12,9	-32,2142	12,9	-31,1385	12,9	-30,4545	
13	-31,8283	13	-30,5683	13	-29,7845	
13,1	-31,6474	13,1	-30,2959	13,1	-29,5202	
13,2	-31,4508	13,2	-30,0965	13,2	-29,3091	
13,3	-31,0777	13,3	-29,6158	13,3	-28,7827	
