Frekvenca [Hz] - Plot 0	Faza frekv. prenosne funkcije [rad] - Plot 0	Frekvenca [Hz] - Plot 1	Faza frekv. prenosne funkcije [rad] - Plot 1	Frekvenca [Hz] - Plot 2	Faza frekv. prenosne funkcije [rad] - Plot 2	
10	3,05471	10	2,97978	10	2,99928	
10,1	3,03752	10,1	2,95218	10,1	2,95235	
10,2	3,01507	10,2	2,97435	10,2	2,96875	
10,3	3,00509	10,3	2,99845	10,3	3,00162	
10,4	3,0269	10,4	2,98405	10,4	2,9844	
10,5	3,03847	10,5	2,9814	10,5	2,98373	
10,6	3,03451	10,6	2,99231	10,6	2,99522	
10,7	3,01984	10,7	2,97622	10,7	2,97502	
10,8	3,02568	10,8	2,99075	10,8	2,98415	
10,9	3,03639	10,9	2,99739	10,9	2,9876	
11	3,04579	11	2,99981	11	2,99251	
11,1	3,05603	11,1	3,0096	11,1	3,00683	
11,2	3,03892	11,2	2,98098	11,2	2,9811	
11,3	3,01325	11,3	2,95179	11,3	2,94224	
11,4	3,02111	11,4	2,98186	11,4	2,98588	
11,5	3,03906	11,5	2,99536	11,5	3,01063	
11,6	3,0162	11,6	2,97517	11,6	3,01212	
11,7	3,0214	11,7	2,98736	11,7	3,03749	
11,8	3,0108	11,8	2,97532	11,8	3,05958	
11,9	3,02905	11,9	2,98151	11,9	3,13135	
12	3,01711	12	2,96625	12	3,09248	
12,1	2,995	12,1	2,94273	12,1	3,01453	
12,2	2,99548	12,2	2,93721	12,2	2,98636	
12,3	2,9775	12,3	2,92481	12,3	2,95044	
12,4	2,97835	12,4	2,92805	12,4	2,93266	
12,5	2,96371	12,5	2,90734	12,5	2,91194	
12,6	2,94725	12,6	2,88789	12,6	2,89242	
12,7	2,93861	12,7	2,8803	12,7	2,87803	
12,8	2,93928	12,8	2,87736	12,8	2,87567	
12,9	2,9426	12,9	2,88109	12,9	2,88008	
13	2,9329	13	2,87246	13	2,87067	
13,1	2,88927	13,1	2,82362	13,1	2,8198	
13,2	2,87045	13,2	2,80489	13,2	2,80145	
13,3	2,84284	13,3	2,77846	13,3	2,77721	
13,4	2,79819	13,4	2,73233	13,4	2,72675	
13,5	2,74259	13,5	2,67837	13,5	2,66875	
13,6	2,69058	13,6	2,62747	13,6	2,6176	
13,7	2,60647	13,7	2,53584	13,7	2,52572	
13,8	2,53576	13,8	2,46848	13,8	2,45789	
13,9	2,3848	13,9	2,30837	13,9	2,29398	
14	2,22617	14	2,14746	14	2,13343	
14,1	2,05467	14,1	1,97685	14,1	1,96441	
14,2	1,87359	14,2	1,78506	14,2	1,77116	
14,3	1,55742	14,3	1,46402	14,3	1,45025	
14,4	1,19392	14,4	1,1007	14,4	1,08766	
14,5	1,03577	14,5	0,941308	14,5	0,928523	
14,6	0,902446	14,6	0,797887	14,6	0,785103	
14,7	0,806813	14,7	0,690358	14,7	0,674532	
14,8	0,686539	14,8	0,578883	14,8	0,563853	
14,9	0,578175	14,9	0,465633	14,9	0,454861	
15	0,593166	15	0,466374	15	0,453187	
15,1	0,574748	15,1	0,439993	15,1	0,425651	
15,2	0,491621	15,2	0,356193	15,2	0,342918	
15,3	0,487494	15,3	0,344996	15,3	0,329794	
15,4	0,483701	15,4	0,326449	15,4	0,3103	
15,5	0,465384	15,5	0,297579	15,5	0,281826	
15,6	0,458751	15,6	0,27996	15,6	0,263142	
15,7	0,410583	15,7	0,241654	15,7	0,226609	
15,8	0,398215	15,8	0,215725	15,8	0,204551	
15,9	0,406636	15,9	0,208807	15,9	0,199292	
16	0,4127	16	0,197825	16	0,185272	
16,1	0,428637	16,1	0,188325	16,1	0,176274	
16,2	0,413155	16,2	0,172093	16,2	0,161219	
16,3	0,420672	16,3	0,153087	16,3	0,138377	
16,4	0,440876	16,4	0,145173	16,4	0,131547	
16,5	0,498969	16,5	0,15687	16,5	0,141101	
16,6	0,542145	16,6	0,151137	16,6	0,132062	
16,7	0,540361	16,7	0,126603	16,7	0,107612	
16,8	0,623537	16,8	0,120623	16,8	0,100305	
16,9	0,722865	16,9	0,120212	16,9	0,0966066	
17	0,708494	17	0,100193	17	0,0814615	
