Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
0	-0,423103	
1	-8,99231	
2	-9,39857	
3	-9,94463	
4	-14,0324	
5	-15,8534	
6	-16,897	
7	-17,6642	
8	-18,0139	
9	-18,3188	
10	-18,5848	
11	-18,8541	
12	-18,9029	
13	-18,2589	
14	-18,324	
15	-18,5457	
16	-18,6915	
17	-18,7992	
18	-18,8695	
19	-18,9225	
20	-18,9831	
21	-19,0425	
22	-19,0777	
23	-19,101	
24	-19,1092	
25	-19,1585	
26	-19,2042	
27	-19,1923	
28	-19,2023	
29	-19,2261	
30	-19,2561	
31	-19,2933	
32	-19,3174	
33	-19,3054	
34	-19,3299	
35	-19,3504	
36	-19,348	
37	-19,3251	
38	-19,2973	
39	-19,2548	
40	-19,2426	
41	-19,2482	
42	-19,2531	
43	-19,2655	
44	-19,2749	
45	-19,2907	
46	-19,2986	
47	-19,3013	
48	-19,3088	
49	-19,3287	
50	-19,3488	
51	-19,3459	
52	-19,3426	
53	-19,3509	
54	-19,3557	
55	-19,3654	
56	-19,3638	
57	-19,3694	
58	-19,3681	
59	-19,3667	
60	-19,3776	
61	-19,3676	
62	-19,3819	
63	-19,3727	
64	-19,3833	
65	-19,3947	
66	-19,3893	
67	-19,3895	
68	-19,3927	
69	-19,4053	
70	-19,3923	
71	-19,4012	
72	-19,3905	
73	-19,3955	
74	-19,3975	
75	-19,4062	
76	-19,4121	
77	-19,4001	
78	-19,3989	
79	-19,396	
80	-19,4011	
81	-19,4049	
82	-19,4015	
83	-19,4035	
84	-19,4045	
85	-19,3999	
86	-19,4043	
87	-19,42	
88	-19,4053	
89	-19,4046	
90	-19,3986	
91	-19,4056	
92	-19,4016	
93	-19,4004	
94	-19,4021	
95	-19,4031	
96	-19,3966	
97	-19,4065	
98	-19,3994	
99	-19,3991	
100	-19,4027	
101	-19,3959	
102	-19,4054	
103	-19,4011	
104	-19,402	
105	-19,4032	
106	-19,4164	
107	-19,407	
108	-19,4035	
109	-19,413	
110	-19,3922	
111	-19,3989	
112	-19,3951	
113	-19,4057	
114	-19,3996	
115	-19,3961	
116	-19,3929	
117	-19,3961	
118	-19,3954	
119	-19,396	
120	-19,3902	
121	-19,3993	
122	-19,4059	
123	-19,3948	
124	-19,4019	
125	-19,4041	
126	-19,3995	
127	-19,3986	
128	-19,402	
129	-19,4051	
130	-19,4112	
131	-19,4125	
132	-19,4181	
133	-19,415	
134	-19,4249	
135	-19,4242	
136	-19,4268	
137	-19,4319	
138	-19,4279	
139	-19,4275	
140	-19,4332	
141	-19,4304	
142	-19,4443	
