Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
0	-23,9007	
1	-30,0386	
2	-24,799	
3	-21,221	
4	-23,9279	
5	-24,4214	
6	-24,3586	
7	-24,2884	
8	-24,3434	
9	-24,344	
10	-24,3728	
11	-24,5461	
12	-24,8055	
13	-23,565	
14	-21,8947	
15	-22,3612	
16	-22,7261	
17	-22,9273	
18	-23,104	
19	-23,1794	
20	-23,2469	
21	-23,2969	
22	-23,3212	
23	-23,3477	
24	-23,3785	
25	-23,4263	
26	-23,4193	
27	-23,4069	
28	-23,4245	
29	-23,4526	
30	-23,4437	
31	-23,4844	
32	-23,5	
33	-23,4959	
34	-23,5115	
35	-23,5406	
36	-23,5594	
37	-23,5784	
38	-23,5968	
39	-23,5527	
40	-23,5068	
41	-23,4947	
42	-23,4759	
43	-23,4774	
44	-23,5019	
45	-23,5376	
46	-23,5525	
47	-23,5599	
48	-23,5681	
49	-23,5925	
50	-23,6021	
51	-23,6291	
52	-23,642	
53	-23,6541	
54	-23,6415	
55	-23,6623	
56	-23,6575	
57	-23,6842	
58	-23,685	
59	-23,6911	
60	-23,7086	
61	-23,6985	
62	-23,7033	
63	-23,703	
64	-23,7121	
65	-23,7288	
66	-23,7457	
67	-23,7605	
68	-23,7509	
69	-23,7661	
70	-23,7693	
71	-23,7702	
72	-23,7863	
73	-23,7964	
74	-23,7893	
75	-23,7974	
76	-23,7903	
77	-23,7871	
78	-23,8156	
79	-23,8176	
80	-23,8185	
81	-23,8303	
82	-23,8163	
83	-23,8259	
84	-23,8434	
85	-23,8494	
86	-23,8485	
87	-23,8483	
88	-23,8526	
89	-23,8529	
90	-23,8604	
91	-23,869	
92	-23,8554	
93	-23,8668	
94	-23,8645	
95	-23,8777	
96	-23,8757	
97	-23,8674	
98	-23,8705	
99	-23,8775	
100	-23,8579	
101	-23,8702	
102	-23,8729	
103	-23,8699	
104	-23,8717	
105	-23,8751	
106	-23,8699	
107	-23,8503	
108	-23,866	
109	-23,8676	
110	-23,8797	
111	-23,8624	
112	-23,8564	
113	-23,8542	
114	-23,8436	
115	-23,8315	
116	-23,8211	
117	-23,8215	
118	-23,7883	
119	-23,7686	
120	-23,7686	
121	-23,7564	
122	-23,7617	
123	-23,7544	
124	-23,7324	
125	-23,7119	
126	-23,7135	
127	-23,694	
128	-23,6894	
129	-23,6845	
130	-23,6718	
131	-23,6423	
132	-23,634	
133	-23,6296	
134	-23,5891	
135	-23,578	
136	-23,5686	
137	-23,5344	
138	-23,5166	
139	-23,4985	
140	-23,4809	
141	-23,4605	
142	-23,4386	
143	-23,4317	
144	-23,4025	
145	-23,3843	
146	-23,3623	
147	-23,3406	
148	-23,3301	
149	-23,3114	
150	-23,2933	
151	-23,2655	
152	-23,2396	
153	-23,2274	
154	-23,1995	
155	-23,1844	
156	-23,1429	
157	-23,1168	
158	-23,0945	
159	-23,0612	
160	-23,0271	
161	-22,9932	
162	-22,9616	
163	-22,9187	
164	-22,8851	
165	-22,8577	
166	-22,8105	
167	-22,7691	
168	-22,7279	
169	-22,6957	
170	-22,652	
171	-22,6068	
172	-22,5526	
173	-22,5094	
174	-22,4593	
175	-22,4154	
176	-22,3609	
177	-22,3087	
178	-22,2419	
179	-22,1765	
180	-22,1319	
181	-22,0663	
182	-22,0016	
183	-21,9399	
184	-21,8742	
185	-21,8002	
186	-21,7305	
187	-21,6517	
188	-21,577	
189	-21,4841	
190	-21,4003	
191	-21,3013	
192	-21,2168	
193	-21,1159	
194	-21,0121	
195	-20,8955	
196	-20,7887	
197	-20,6576	
198	-20,5226	
199	-20,3839	
200	-20,2358	
201	-20,0906	
202	-19,9225	
203	-19,7493	
204	-19,5531	
205	-19,3409	
206	-19,1184	
207	-18,8732	
208	-18,6155	
209	-18,3374	
210	-18,0262	
211	-17,6861	
212	-17,3337	
213	-16,8977	
214	-16,5028	
215	-15,9411	
216	-15,3888	
217	-14,6789	
218	-13,8838	
219	-12,9557	
220	-11,8267	
221	-10,3721	
222	-8,55967	
223	-5,96433	
224	-1,82821	
225	5,61906	
226	3,42214	
227	-4,03037	
228	-8,73552	
229	-12,3463	
230	-14,7943	
231	-16,8753	
232	-19,1231	
233	-21,1144	
234	-22,7556	
235	-24,4671	
236	-26,3874	
237	-27,9931	
238	-29,6545	
239	-32,0434	
240	-33,9647	
241	-35,9127	
242	-38,9195	
243	-42,1852	
244	-47,1552	
245	-56,0029	
246	-57,8526	
247	-47,9727	
248	-44,3669	
249	-41,7942	
250	-40,2802	
251	-38,7394	
252	-37,7509	
253	-36,7701	
254	-35,9923	
255	-35,3713	
256	-34,7952	
257	-34,3489	
258	-33,9175	
259	-33,4399	
260	-33,0352	
261	-32,6785	
262	-32,328	
263	-32,0689	
264	-31,7659	
265	-31,5101	
266	-31,2829	
267	-31,0787	
268	-30,9118	
269	-30,715	
270	-30,5526	
271	-30,4104	
272	-30,2448	
273	-30,105	
274	-29,9671	
275	-29,8667	
276	-29,7515	
277	-29,6248	
278	-29,518	
279	-29,4369	
280	-29,3345	
281	-29,2198	
282	-29,1367	
283	-29,0682	
284	-29,0009	
285	-28,9076	
286	-28,8407	
287	-28,7741	
288	-28,7443	
289	-28,657	
290	-28,6057	
291	-28,5611	
292	-28,4868	
293	-28,4322	
294	-28,3857	
295	-28,3407	
296	-28,2757	
297	-28,219	
298	-28,1896	
299	-28,1622	
300	-28,114	
301	-28,0696	
302	-28,0208	
303	-27,978	
304	-27,9414	
305	-27,9187	
306	-27,8791	
307	-27,859	
308	-27,8177	
309	-27,8075	
310	-27,7475	
311	-27,727	
312	-27,6889	
313	-27,6693	
314	-27,6537	
315	-27,6168	
316	-27,584	
317	-27,5659	
318	-27,5367	
319	-27,5158	
320	-27,4879	
321	-27,4693	
322	-27,4378	
323	-27,4072	
324	-27,3987	
325	-27,3928	
326	-27,3718	
327	-27,3614	
328	-27,3406	
329	-27,3208	
330	-27,2991	
331	-27,2828	
332	-27,2701	
333	-27,244	
334	-27,2177	
335	-27,218	
336	-27,198	
337	-27,2034	
338	-27,1928	
339	-27,1666	
340	-27,1693	
341	-27,1497	
342	-27,1519	
343	-27,1267	
344	-27,131	
345	-27,1155	
346	-27,1136	
347	-27,135	
348	-27,1284	
349	-27,1385	
350	-27,1448	
351	-27,1486	
352	-27,1677	
353	-27,2322	
354	-27,3254	
355	-27,4028	
356	-27,4845	
357	-27,4624	
358	-27,3662	
359	-27,2531	
360	-27,1789	
361	-27,1179	
362	-27,0531	
363	-27,003	
364	-26,9465	
365	-26,9353	
366	-26,9442	
367	-27,0298	
368	-27,1232	
369	-27,1901	
370	-27,2452	
371	-27,2541	
372	-27,2224	
373	-27,1891	
374	-27,156	
375	-27,1323	
376	-27,1084	
377	-27,0944	
378	-27,0941	
379	-27,0958	
380	-27,106	
381	-27,0901	
382	-27,1022	
383	-27,1111	
384	-27,1097	
385	-27,1093	
386	-27,1142	
387	-27,0751	
388	-26,9901	
389	-27,1012	
390	-27,1812	
391	-27,2092	
392	-27,1982	
393	-27,2083	
394	-27,2144	
395	-27,2316	
