Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
0	-21,3769	
1	-22,6252	
2	-20,4448	
3	-11,0282	
4	-10,1219	
5	-13,5262	
6	-14,9077	
7	-15,6057	
8	-16,0856	
9	-16,3746	
10	-16,6047	
11	-16,6625	
12	-16,7752	
13	-16,842	
14	-16,8588	
15	-16,819	
16	-16,9284	
17	-16,9831	
18	-17,0364	
19	-17,0863	
20	-17,1234	
21	-17,1557	
22	-17,2038	
23	-17,2184	
24	-17,2408	
25	-17,2645	
26	-17,2972	
27	-17,3384	
28	-17,3804	
29	-17,4133	
30	-17,4367	
31	-17,4835	
32	-17,5347	
33	-17,5591	
34	-17,5493	
35	-17,5576	
36	-17,606	
37	-17,633	
38	-17,5894	
39	-17,464	
40	-17,3577	
41	-17,3286	
42	-17,3258	
43	-17,345	
44	-17,3881	
45	-17,4427	
46	-17,5093	
47	-17,553	
48	-17,5701	
49	-17,5294	
50	-17,468	
51	-17,4606	
52	-17,5647	
53	-17,6081	
54	-17,6293	
55	-17,6519	
56	-17,668	
57	-17,7064	
58	-17,7177	
59	-17,7345	
60	-17,7452	
61	-17,7488	
62	-17,7806	
63	-17,7957	
64	-17,8199	
65	-17,8458	
66	-17,8422	
67	-17,87	
68	-17,885	
69	-17,9138	
70	-17,944	
71	-17,9575	
72	-17,9677	
73	-17,9826	
74	-18,0047	
75	-18,0247	
76	-18,043	
77	-18,0598	
78	-18,0677	
79	-18,0878	
80	-18,1057	
81	-18,1255	
82	-18,1378	
83	-18,1452	
84	-18,1653	
85	-18,1927	
86	-18,2011	
87	-18,2231	
88	-18,237	
89	-18,2421	
90	-18,2666	
91	-18,276	
92	-18,2839	
93	-18,2953	
94	-18,3119	
95	-18,2987	
96	-18,2968	
97	-18,3153	
98	-18,3267	
99	-18,3211	
100	-18,3192	
101	-18,3262	
102	-18,3281	
103	-18,3271	
104	-18,3412	
105	-18,348	
106	-18,3473	
107	-18,3583	
108	-18,3674	
109	-18,3617	
110	-18,3711	
111	-18,3671	
112	-18,36	
113	-18,3734	
114	-18,3695	
115	-18,3798	
116	-18,3828	
117	-18,3768	
118	-18,3659	
119	-18,3688	
120	-18,3637	
121	-18,3648	
122	-18,3647	
123	-18,3562	
124	-18,3577	
125	-18,3487	
126	-18,344	
127	-18,3449	
128	-18,3429	
129	-18,337	
130	-18,327	
131	-18,3148	
132	-18,3051	
133	-18,3041	
134	-18,289	
135	-18,2815	
136	-18,2826	
137	-18,2682	
138	-18,2579	
139	-18,2499	
140	-18,2315	
141	-18,2199	
142	-18,2028	
143	-18,191	
144	-18,1732	
145	-18,159	
146	-18,1517	
147	-18,1357	
148	-18,1258	
149	-18,111	
150	-18,1026	
151	-18,0803	
152	-18,0689	
153	-18,0489	
154	-18,0379	
155	-18,0243	
156	-18,0062	
157	-17,9883	
158	-17,9647	
159	-17,942	
160	-17,9273	
161	-17,9032	
162	-17,8829	
163	-17,8612	
164	-17,8402	
165	-17,8224	
166	-17,8132	
167	-17,7898	
168	-17,7648	
169	-17,7461	
170	-17,7297	
171	-17,7056	
172	-17,6851	
173	-17,6661	
174	-17,6472	
175	-17,629	
176	-17,6064	
177	-17,5853	
178	-17,5693	
179	-17,5453	
180	-17,5305	
181	-17,5026	
182	-17,4756	
183	-17,4617	
184	-17,4371	
185	-17,4072	
186	-17,3887	
187	-17,3579	
188	-17,3488	
189	-17,3253	
190	-17,3	
191	-17,2754	
192	-17,2627	
193	-17,238	
194	-17,216	
195	-17,1907	
196	-17,163	
197	-17,148	
198	-17,1268	
199	-17,0878	
200	-17,0696	
201	-17,0495	
202	-17,0146	
203	-16,9916	
204	-16,9586	
205	-16,9362	
206	-16,9107	
207	-16,8976	
208	-16,8803	
209	-16,8633	
210	-16,8488	
211	-16,836	
212	-16,8168	
213	-16,7914	
214	-16,7759	
215	-16,7535	
216	-16,7312	
217	-16,713	
218	-16,6963	
219	-16,6638	
220	-16,6421	
221	-16,6222	
222	-16,6052	
223	-16,5746	
224	-16,5526	
225	-16,5301	
226	-16,5142	
227	-16,4924	
228	-16,4579	
229	-16,4393	
230	-16,4036	
231	-16,3578	
232	-16,3547	
233	-16,3359	
234	-16,315	
235	-16,2924	
236	-16,2655	
237	-16,2381	
238	-16,2166	
239	-16,1956	
240	-16,1738	
241	-16,1463	
242	-16,1131	
243	-16,0925	
244	-16,0581	
245	-16,0314	
246	-15,9966	
247	-15,971	
248	-15,9425	
249	-15,9123	
250	-15,8791	
251	-15,8511	
252	-15,8295	
253	-15,801	
254	-15,7761	
255	-15,737	
256	-15,7037	
257	-15,6725	
258	-15,6431	
259	-15,6068	
260	-15,5703	
261	-15,531	
262	-15,4867	
263	-15,4477	
264	-15,4064	
265	-15,3647	
266	-15,3222	
267	-15,2734	
268	-15,2233	
269	-15,1796	
270	-15,1265	
271	-15,0802	
272	-15,0246	
273	-14,9704	
274	-14,9077	
275	-14,8574	
276	-14,7876	
277	-14,7252	
278	-14,6518	
279	-14,5797	
280	-14,5075	
281	-14,4255	
282	-14,3442	
283	-14,254	
284	-14,1626	
285	-14,0615	
286	-13,9633	
287	-13,8572	
288	-13,7414	
289	-13,6163	
290	-13,4861	
291	-13,3515	
292	-13,2009	
293	-13,0403	
294	-12,867	
295	-12,6799	
296	-12,4834	
297	-12,2654	
298	-12,0247	
299	-11,7686	
300	-11,484	
301	-11,166	
302	-10,8126	
303	-10,4171	
304	-9,97071	
305	-9,46171	
306	-8,87235	
307	-8,18904	
308	-7,376	
309	-6,39216	
310	-5,16078	
311	-3,57349	
312	-1,3886	
313	1,89317	
314	7,78918	
315	12,6165	
316	3,03476	
317	-2,4439	
318	-6,25655	
319	-9,29613	
320	-11,9261	
321	-14,3178	
322	-16,5699	
323	-18,7959	
324	-21,0641	
325	-23,4178	
326	-25,9779	
327	-28,8667	
328	-32,286	
329	-36,4678	
330	-40,4341	
331	-39,3043	
332	-35,9477	
333	-33,3701	
334	-31,4505	
335	-30,0058	
336	-28,8222	
337	-27,8844	
338	-27,094	
339	-26,4155	
340	-25,8447	
341	-25,3397	
342	-24,9056	
343	-24,5112	
344	-24,1629	
345	-23,8566	
346	-23,5523	
347	-23,2925	
348	-23,0512	
349	-22,8304	
350	-22,6338	
351	-22,4473	
352	-22,2737	
353	-22,1044	
354	-21,9427	
355	-21,7978	
356	-21,6679	
357	-21,5362	
358	-21,4186	
359	-21,3034	
360	-21,1876	
361	-21,079	
362	-20,9756	
363	-20,8865	
